column,missing_values,missing_percent
category,33,76.7
period_start,33,76.7
value_text,33,76.7
collection_date,33,76.7
period_end,33,76.7
source_url,12,27.9
unit,10,23.3
pillar,10,23.3
analysis_value,10,23.3
original_text,10,23.3
indicator_direction,10,23.3
value_numeric,10,23.3
record_id,0,0.0
observation_date,0,0.0
value_type,0,0.0
indicator_code,0,0.0
indicator,0,0.0
record_type,0,0.0
location,0,0.0
gender,0,0.0
fiscal_year,0,0.0
confidence,0,0.0
source_type,0,0.0
source_name,0,0.0
collected_by,0,0.0
comparable_country,0,0.0
record_type_clean,0,0.0
analytical_year,0,0.0
indicator_group,0,0.0
