indicator,indicator_group,year,baseline_forecast,lower_95,upper_95,optimistic_scenario,conservative_scenario,historical_last_year,historical_slope,event_annual_adjustment,value_type,period_type,actual_value
Account Ownership Gender Gap,Account ownership,2021,19.999999999999993,18.039999999999992,21.959999999999994,19.999999999999993,19.999999999999993,2024,-0.6666666666666677,0.0,gap_pp,historical_fit,20.0
Account Ownership Gender Gap,Account ownership,2022,19.333333333333325,17.373333333333324,21.293333333333326,19.333333333333325,19.333333333333325,2024,-0.6666666666666677,0.0,gap_pp,historical_fit,
Account Ownership Gender Gap,Account ownership,2023,18.666666666666657,16.706666666666656,20.626666666666658,18.666666666666657,18.666666666666657,2024,-0.6666666666666677,0.0,gap_pp,historical_fit,
Account Ownership Gender Gap,Account ownership,2024,17.99999999999999,16.03999999999999,19.95999999999999,17.99999999999999,17.99999999999999,2024,-0.6666666666666677,0.0,gap_pp,historical_fit,18.0
Account Ownership Gender Gap,Account ownership,2025,17.33333333333332,14.561474751082056,20.105191915584587,17.33333333333332,17.33333333333332,2024,-0.6666666666666677,0.0,gap_pp,forecast,
Account Ownership Gender Gap,Account ownership,2026,16.666666666666654,13.271847083831654,20.06148624950165,16.666666666666654,16.666666666666654,2024,-0.6666666666666677,0.0,gap_pp,forecast,
Account Ownership Gender Gap,Account ownership,2027,15.999999999999986,12.079999999999986,19.919999999999987,15.999999999999986,15.999999999999986,2024,-0.6666666666666677,0.0,gap_pp,forecast,
Account Ownership Gender Gap,Account ownership,2028,15.333333333333318,10.95064009743373,19.716026569232906,15.333333333333318,15.333333333333318,2024,-0.6666666666666677,0.0,gap_pp,forecast,
Account Ownership Gender Gap,Account ownership,2029,14.66666666666665,9.865666770811622,19.46766656252168,14.66666666666665,14.66666666666665,2024,-0.6666666666666677,0.0,gap_pp,forecast,
Account Ownership Gender Gap,Account ownership,2030,13.999999999999982,8.814327430313384,19.18567256968658,13.999999999999982,13.999999999999982,2024,-0.6666666666666677,0.0,gap_pp,forecast,
Account Ownership Rate,Account ownership,2014,24.46551724137932,17.533481664337085,31.397552818421556,24.46551724137932,24.46551724137932,2024,2.706896551724137,0.0,percentage,historical_fit,22.0
Account Ownership Rate,Account ownership,2015,27.17241379310346,20.240378216061224,34.104449370145694,27.17241379310346,27.17241379310346,2024,2.706896551724137,0.0,percentage,historical_fit,
Account Ownership Rate,Account ownership,2016,29.879310344827594,22.94727476778536,36.81134592186983,29.879310344827594,29.879310344827594,2024,2.706896551724137,0.0,percentage,historical_fit,
Account Ownership Rate,Account ownership,2017,32.58620689655173,25.654171319509494,39.518242473593965,32.58620689655173,32.58620689655173,2024,2.706896551724137,0.0,percentage,historical_fit,35.0
Account Ownership Rate,Account ownership,2018,35.29310344827587,28.361067871233637,42.22513902531811,35.29310344827587,35.29310344827587,2024,2.706896551724137,0.0,percentage,historical_fit,
Account Ownership Rate,Account ownership,2019,38.00000000000001,31.067964422957772,44.93203557704224,38.00000000000001,38.00000000000001,2024,2.706896551724137,0.0,percentage,historical_fit,
Account Ownership Rate,Account ownership,2020,40.70689655172414,33.77486097468191,47.63893212876638,40.70689655172414,40.70689655172414,2024,2.706896551724137,0.0,percentage,historical_fit,
Account Ownership Rate,Account ownership,2021,43.413793103448285,36.48175752640605,50.34582868049052,43.413793103448285,43.413793103448285,2024,2.706896551724137,0.0,percentage,historical_fit,46.0
Account Ownership Rate,Account ownership,2022,46.12068965517241,39.18865407813018,53.05272523221465,46.12068965517241,46.12068965517241,2024,2.706896551724137,0.0,percentage,historical_fit,
Account Ownership Rate,Account ownership,2023,48.827586206896555,41.89555062985432,55.75962178393879,48.827586206896555,48.827586206896555,2024,2.706896551724137,0.0,percentage,historical_fit,
Account Ownership Rate,Account ownership,2024,51.53448275862069,44.602447181578455,58.466518335662926,51.53448275862069,51.53448275862069,2024,2.706896551724137,0.0,percentage,historical_fit,49.0
Account Ownership Rate,Account ownership,2025,54.241379310344826,44.43800058243889,64.04475803825076,54.241379310344826,54.241379310344826,2024,2.706896551724137,0.0,percentage,forecast,
Account Ownership Rate,Account ownership,2026,56.94827586206897,44.94163804275678,68.95491368138116,56.94827586206897,56.94827586206897,2024,2.706896551724137,0.0,percentage,forecast,
Account Ownership Rate,Account ownership,2027,59.655172413793096,45.791101259708626,73.51924356787757,59.655172413793096,59.655172413793096,2024,2.706896551724137,0.0,percentage,forecast,
Account Ownership Rate,Account ownership,2028,62.36206896551724,46.86156619280382,77.86257173823066,62.36206896551724,62.36206896551724,2024,2.706896551724137,0.0,percentage,forecast,
Account Ownership Rate,Account ownership,2029,65.06896551724138,48.08901547466836,82.0489155598144,65.06896551724138,65.06896551724138,2024,2.706896551724137,0.0,percentage,forecast,
Account Ownership Rate,Account ownership,2030,67.77586206896551,49.43541985265963,86.11630428527138,67.77586206896551,67.77586206896551,2024,2.706896551724137,0.0,percentage,forecast,
Fayda Digital ID Enrollment,Fayda Digital ID Enrollment,2024,7999999.999999997,5843999.999999997,10155999.999999996,7999999.999999997,7999999.999999997,2025,5499999.999999997,0.0,count,historical_fit,8000000.0
Fayda Digital ID Enrollment,Fayda Digital ID Enrollment,2025,13499999.999999994,11343999.999999994,15655999.999999994,13499999.999999994,13499999.999999994,2025,5499999.999999997,0.0,count,historical_fit,13500000.0
Fayda Digital ID Enrollment,Fayda Digital ID Enrollment,2026,18999999.999999993,15950955.5595236,22049044.440476388,18999999.999999993,18999999.999999993,2025,5499999.999999997,0.0,count,forecast,
Fayda Digital ID Enrollment,Fayda Digital ID Enrollment,2027,24499999.99999999,20765698.45888149,28234301.541118488,24499999.99999999,24499999.99999999,2025,5499999.999999997,0.0,count,forecast,
Fayda Digital ID Enrollment,Fayda Digital ID Enrollment,2028,29999999.999999985,25687999.999999985,34311999.999999985,29999999.999999985,29999999.999999985,2025,5499999.999999997,0.0,count,forecast,
